Date,BTC 指數,布蘭特原油,金,銅,天然氣
6/15/2023,49.25%,-7.12%,5.77%,2.34%,-64.68%
6/14/2023,51.96%,-7.39%,6.61%,2.88%,-64.52%
6/13/2023,53.37%,-6.01%,6.05%,1.85%,-64.55%
6/12/2023,53.14%,-9.11%,6.65%,-0.25%,-65.67%
6/9/2023,56.65%,-5.38%,7.06%,0.73%,-65.85%
6/8/2023,57.38%,-3.90%,7.14%,0.89%,-64.36%
6/7/2023,56.86%,-2.64%,6.04%,-0.15%,-64.71%
6/6/2023,60.91%,-3.48%,7.29%,0.19%,-65.73%
6/5/2023,52.08%,-2.95%,6.90%,0.17%,-65.98%
6/2/2023,61.64%,-3.68%,6.65%,-0.90%,-67.09%
6/1/2023,59.42%,-6.02%,8.05%,-1.34%,-67.30%
5/31/2023,60.34%,-8.07%,7.33%,-3.31%,-65.67%
5/30/2023,65.17%,-6.96%,7.06%,-2.62%,-64.74%
5/29/2023,58.81%,-2.49%,6.30%,-2.34%,-66.95%
5/26/2023,58.81%,-2.64%,6.30%,-2.34%,-66.95%
5/25/2023,57.09%,-3.52%,6.25%,-4.81%,-65.05%
5/24/2023,55.72%,-0.86%,7.38%,-5.53%,-63.67%
5/23/2023,61.31%,-2.78%,7.91%,-3.19%,-64.83%
5/22/2023,59.29%,-3.86%,8.06%,-2.33%,-63.64%
5/19/2023,59.22%,-4.38%,8.31%,-1.04%,-60.83%
5/18/2023,58.54%,-4.02%,7.12%,-2.13%,-60.73%
5/17/2023,62.64%,-2.63%,8.50%,-0.49%,-64.17%
5/16/2023,59.78%,-5.23%,8.96%,-2.84%,-64.00%
5/15/2023,62.51%,-4.82%,10.58%,-0.64%,-64.02%
5/12/2023,56.78%,-6.16%,10.41%,-1.20%,-65.67%
5/11/2023,59.28%,-5.14%,10.46%,-1.70%,-66.82%
5/10/2023,64.35%,-3.33%,11.35%,1.77%,-66.80%
5/9/2023,64.29%,-2.02%,11.67%,3.39%,-65.65%
5/8/2023,62.34%,-2.57%,11.15%,4.16%,-66.09%
5/5/2023,75.14%,-4.73%,10.69%,2.92%,-67.62%
5/4/2023,71.14%,-8.27%,12.36%,2.35%,-68.17%
5/3/2023,68.33%,-8.49%,11.34%,1.86%,-67.12%
5/2/2023,70.19%,-4.71%,10.60%,2.30%,-66.45%
5/1/2023,65.42%,0.34%,8.91%,4.13%,-64.88%
4/28/2023,74.18%,0.63%,9.29%,2.88%,-63.48%
4/27/2023,75.64%,-0.85%,9.26%,2.74%,-64.32%
4/26/2023,63.34%,-1.71%,9.10%,2.45%,-67.92%
4/25/2023,64.87%,2.19%,9.57%,2.30%,-65.05%
4/24/2023,62.44%,4.67%,9.30%,5.12%,-65.56%
4/21/2023,61.81%,3.31%,8.79%,5.81%,-66.17%
4/20/2023,66.77%,2.61%,10.35%,7.02%,-65.92%
4/19/2023,73.54%,5.16%,9.70%,8.39%,-66.33%
4/18/2023,79.26%,7.25%,10.38%,8.77%,-64.15%
4/17/2023,74.91%,7.24%,9.69%,8.10%,-65.53%
4/14/2023,79.84%,9.20%,10.16%,9.17%,-67.97%
4/13/2023,79.71%,8.92%,12.29%,9.64%,-69.59%
4/12/2023,76.98%,10.49%,10.64%,8.49%,-68.29%
4/11/2023,78.72%,8.31%,10.32%,6.86%,-66.88%
4/10/2023,73.05%,6.50%,9.48%,5.72%,-67.09%
4/7/2023,66.34%,7.69%,10.70%,6.75%,-69.53%
4/6/2023,66.34%,7.69%,10.70%,6.75%,-69.53%
4/5/2023,67.35%,7.53%,11.20%,5.98%,-67.35%
4/4/2023,67.23%,7.46%,11.34%,5.57%,-68.09%
4/3/2023,65.79%,7.45%,9.30%,7.55%,-68.23%
3/31/2023,68.51%,0.92%,8.52%,8.85%,-66.42%
3/30/2023,65.83%,0.29%,9.14%,8.77%,-68.12%
3/29/2023,68.40%,-0.96%,8.41%,9.40%,-69.83%
3/28/2023,62.39%,-0.49%,8.72%,9.32%,-69.24%
3/27/2023,60.02%,-1.16%,7.68%,9.12%,-68.36%
3/24/2023,65.05%,-5.12%,9.31%,9.04%,-66.42%
3/23/2023,67.68%,-3.96%,9.94%,10.22%,-67.36%
3/22/2023,59.73%,-2.97%,7.42%,8.16%,-67.11%
3/21/2023,67.11%,-4.71%,6.96%,6.83%,-64.42%
3/20/2023,65.51%,-6.64%,9.19%,5.69%,-66.32%
3/17/2023,58.96%,-7.68%,8.68%,4.04%,-64.58%
3/16/2023,48.06%,-5.49%,5.96%,3.30%,-61.91%
3/15/2023,44.37%,-6.77%,6.36%,2.53%,-63.05%
3/14/2023,48.66%,-2.01%,5.28%,6.62%,-61.02%
3/13/2023,44.39%,2.19%,5.58%,8.19%,-60.52%
3/10/2023,18.33%,4.73%,2.99%,7.55%,-63.18%
3/9/2023,20.11%,3.23%,1.25%,7.79%,-61.47%
3/8/2023,30.97%,4.58%,0.38%,7.44%,-61.35%
3/7/2023,30.70%,5.38%,0.44%,5.98%,-59.29%
3/6/2023,32.54%,9.03%,2.31%,9.01%,-61.03%
3/3/2023,32.16%,8.59%,2.32%,8.41%,-54.41%
3/2/2023,39.06%,7.22%,1.55%,8.57%,-58.11%
3/1/2023,38.74%,6.67%,1.81%,10.81%,-57.41%
2/28/2023,37.59%,6.14%,1.33%,8.93%,-58.38%
2/27/2023,38.37%,4.31%,0.68%,6.58%,-58.62%
2/24/2023,37.67%,5.21%,0.25%,5.06%,-62.86%
2/23/2023,42.00%,4.01%,0.79%,7.91%,-64.94%
2/22/2023,41.26%,1.97%,1.58%,11.41%,-67.06%
2/21/2023,45.16%,5.07%,1.64%,12.34%,-68.59%
2/20/2023,47.04%,6.36%,2.05%,9.23%,-65.53%
2/17/2023,47.04%,5.01%,2.05%,9.23%,-65.53%
2/16/2023,45.43%,7.72%,2.13%,9.94%,-63.80%
2/15/2023,42.91%,8.02%,1.78%,6.62%,-62.56%
2/14/2023,31.57%,8.27%,2.86%,8.33%,-61.11%
2/13/2023,28.41%,9.58%,2.75%,7.87%,-63.56%
2/10/2023,28.64%,9.30%,3.36%,6.78%,-61.91%
2/9/2023,30.16%,6.91%,3.57%,8.92%,-63.18%
2/8/2023,35.62%,7.65%,4.23%,7.28%,-63.70%
2/7/2023,37.75%,5.88%,3.89%,8.48%,-60.85%
2/6/2023,36.33%,2.47%,3.59%,7.27%,-62.77%
2/3/2023,38.51%,1.14%,3.44%,7.84%,-63.48%
2/2/2023,41.22%,3.96%,6.38%,8.76%,-62.79%
2/1/2023,40.28%,4.81%,7.04%,9.29%,-62.61%
1/31/2023,36.96%,6.90%,7.16%,12.35%,-59.33%
1/30/2023,34.91%,7.41%,6.82%,11.71%,-59.44%
1/27/2023,37.11%,9.64%,7.16%,12.26%,-52.89%
1/26/2023,36.70%,10.67%,7.22%,13.45%,-55.39%
1/25/2023,36.04%,8.96%,7.93%,12.84%,-53.53%
1/24/2023,36.63%,8.97%,7.55%,12.95%,-50.64%
1/23/2023,36.26%,11.58%,7.17%,13.16%,-47.77%
1/20/2023,32.25%,10.87%,7.12%,13.03%,-51.91%
1/19/2023,24.87%,9.01%,6.87%,12.50%,-50.38%
1/18/2023,23.15%,7.52%,5.98%,12.57%,-49.83%
1/17/2023,26.52%,8.70%,6.15%,12.27%,-45.67%
1/16/2023,15.21%,6.86%,6.80%,12.08%,-48.20%
1/13/2023,15.21%,7.89%,6.80%,12.08%,-48.20%
1/12/2023,12.49%,6.31%,5.51%,11.56%,-44.02%
1/11/2023,4.09%,4.59%,4.43%,10.75%,-44.38%
1/10/2023,3.56%,1.34%,4.29%,8.40%,-44.86%
1/9/2023,2.05%,0.77%,4.34%,7.05%,-40.76%
1/6/2023,0.21%,-0.59%,3.90%,3.97%,-43.79%
1/5/2023,-0.05%,-0.44%,2.32%,1.58%,-43.64%
1/4/2023,-0.37%,-1.52%,3.28%,-0.56%,-36.79%
1/3/2023,-1.23%,3.87%,2.53%,0.13%,-39.58%
1/2/2023,-1.54%,8.69%,1.45%,1.30%,-32.20%
12/30/2022,-1.54%,8.69%,1.45%,1.30%,-32.20%
12/29/2022,-1.61%,4.07%,1.44%,1.66%,-30.92%
12/28/2022,-1.69%,5.34%,0.88%,1.87%,-28.65%
12/27/2022,-1.24%,6.69%,1.28%,1.91%,-19.97%
12/26/2022,-0.37%,6.17%,0.26%,1.10%,-23.05%
12/23/2022,-0.37%,6.17%,0.26%,1.10%,-23.05%
12/22/2022,-0.48%,2.45%,-0.23%,-0.27%,-24.26%
12/21/2022,-0.48%,4.00%,1.42%,1.18%,-19.21%
12/20/2022,0.00%,1.20%,1.39%,0.96%,-19.30%
12/19/2022,-1.56%,0.96%,-0.12%,0.57%,-11.35%
